246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,366,367,368,369,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,16,17,16,17,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,16,17,16,17,16,17,16,17,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,40,41,40,41,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,40,41,40,41,40,41,40,41,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,16,17,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,16,17,16,17,16,17,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,40,41,374,375,374,375,374,11,12,12,12,12,12,12,12,12,13,14,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,40,41,40,41,40,41,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,350,351,350,351,350,351,34,35,36,36,36,36,36,36,36,36,37,38,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,374,375,374,375,374,375,58,59,60,60,60,60,60,60,60,60,61,62,63,375,374,375,374,375,374,375,374,375,374,375,258,259,260,261,262,260,259,260,261,262,263,375,374,375,374,375,374,375,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,350,351,350,351,350,351,82,83,84,84,84,84,84,84,84,84,85,86,87,351,350,351,350,351,350,351,350,351,350,351,282,283,284,285,286,284,283,284,285,286,287,351,350,351,350,351,350,351,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,374,375,374,375,374,18,106,107,108,108,108,108,108,108,108,108,109,110,111,23,374,375,16,17,16,17,374,375,18,22,306,307,308,309,310,308,307,308,309,310,311,22,23,375,374,375,374,375,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,350,351,350,351,350,42,130,131,132,132,132,132,132,132,132,132,133,134,135,47,350,351,40,41,40,41,350,351,42,46,330,331,332,333,334,332,331,332,333,334,335,46,47,351,350,351,350,351,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,374,375,374,375,374,66,158,155,156,155,156,155,156,155,64,65,155,160,161,71,374,375,16,17,16,17,374,375,66,70,354,160,356,357,358,356,355,356,357,358,161,70,71,375,374,375,374,375,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,350,351,350,351,350,90,182,277,277,278,279,277,277,179,88,89,179,184,185,95,350,351,40,41,40,41,350,351,90,70,182,184,275,88,89,275,277,278,279,280,185,70,95,351,350,351,350,351,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,374,375,374,375,374,114,206,301,301,302,303,301,301,203,112,113,203,208,209,95,374,375,16,17,16,17,374,375,114,94,206,208,299,112,113,299,301,302,303,304,209,94,95,375,374,375,374,375,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,350,351,350,351,350,114,230,325,325,326,327,325,325,227,136,137,227,232,233,119,350,351,40,41,40,41,350,351,114,118,230,232,323,136,137,323,325,326,327,328,233,118,119,351,350,351,350,351,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,374,375,374,375,374,138,139,346,347,346,347,346,347,139,140,139,140,141,142,143,374,375,374,375,374,375,374,375,138,142,139,140,139,140,139,140,346,347,346,347,139,142,143,375,374,375,374,375,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,294,295,296,297,294,295,296,297
366,367,368,369,366,367,368,369,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,318,319,320,321,318,319,320,321
350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,98,99,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,246,247,248,249,246,247,248,249
374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,122,123,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,270,271,272,273,270,271,272,273
54,55,56,57,54,55,56,57,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,294,295,296,297,294,295,296,297
78,79,80,81,78,79,80,81,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,318,319,320,321,318,319,320,321
102,103,104,105,102,103,104,105,350,351,350,351,288,385,386,387,388,388,387,388,387,388,350,351,385,386,387,388,293,351,350,351,350,351,350,288,385,385,386,387,388,351,350,385,386,387,388,385,386,387,388,293,350,351,350,351,246,247,248,249,246,247,248,249
126,127,128,129,126,127,128,129,374,375,374,375,312,409,410,411,412,412,411,412,411,412,374,375,409,410,411,412,317,375,374,375,374,375,374,312,409,409,410,411,412,375,374,409,410,411,412,409,410,411,412,317,374,375,374,375,270,271,272,273,270,271,272,273
150,151,152,153,150,151,152,153,350,351,350,351,336,169,170,172,169,170,172,169,170,172,169,170,172,169,170,172,341,351,16,17,16,17,350,336,350,351,8,9,350,8,9,351,350,8,9,351,350,8,9,341,350,351,350,351,294,295,296,297,294,295,296,297
174,175,176,177,174,175,176,177,374,375,374,375,360,193,194,196,193,194,196,193,194,196,193,194,196,193,194,196,365,375,40,41,40,41,374,360,374,375,32,33,374,32,33,375,374,32,33,375,374,32,33,365,374,375,374,375,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,350,351,350,351,312,217,218,220,217,218,220,217,218,220,217,218,220,217,218,220,341,351,16,17,16,17,350,360,8,9,350,351,8,9,350,8,9,351,350,8,9,351,350,365,350,351,350,351,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,374,375,374,375,336,193,194,196,193,194,196,193,194,196,193,194,196,193,194,196,317,375,40,41,40,41,374,360,32,33,374,375,32,33,374,32,33,375,374,32,33,375,374,317,374,375,374,375,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,350,351,350,351,360,217,218,220,217,218,220,217,218,220,217,218,220,217,218,220,341,351,16,17,16,17,350,336,350,8,9,351,350,8,9,351,350,8,9,351,350,8,9,341,350,351,350,351,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,374,375,374,375,360,241,242,244,241,242,244,241,242,244,241,242,244,241,242,244,365,375,40,41,40,41,374,360,374,32,33,375,374,32,33,375,374,32,33,375,374,32,33,365,374,375,374,375,318,319,320,321,318,319,320,321
246,247,248,249,246,247,248,249,350,351,350,351,384,385,385,385,385,385,385,385,385,385,385,385,385,386,387,388,389,351,350,351,350,351,350,384,385,386,387,385,385,386,385,386,385,386,387,388,386,387,388,389,350,351,350,351,246,247,248,249,246,247,248,249
270,271,272,273,270,271,272,273,374,375,374,375,408,409,409,409,409,409,409,409,409,409,409,409,409,410,411,412,413,375,374,375,374,375,374,408,409,410,411,409,409,410,409,410,409,410,411,412,410,411,412,413,374,375,374,375,270,271,272,273,270,271,272,273
294,295,296,297,294,295,296,297,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,294,295,296,297,294,295,296,297
318,319,320,321,318,319,320,321,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,374,375,366,367,368,369,366,367,368,369
246,247,248,249,246,247,248,249,16,17,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,350,351,0,1,1,1,1,1
